SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
174545,1,Cash loans,F,N,Y,0,135000.0,654498.0,31617.0,585000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.005313,-20614,365243,-8985.0,-3098,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,,0.6226517577753016,0.6023863442690867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1237.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
209898,0,Cash loans,M,Y,Y,0,135000.0,234576.0,25393.5,202500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.010643,-9080,-1080,-1909.0,-1743,13.0,1,1,0,1,0,0,Drivers,1.0,2,2,TUESDAY,17,0,0,0,0,0,0,Government,,0.6559599719794063,0.4920600938649263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-379.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
454938,0,Cash loans,M,Y,Y,0,112500.0,157914.0,16753.5,139500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.032561,-15933,-114,-7826.0,-4424,19.0,1,1,0,1,0,0,Laborers,1.0,1,1,TUESDAY,14,0,1,1,0,0,0,Other,0.6909994075791971,0.6707933556550142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1682,,No,1.0,0.0,1.0,0.0,-343.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
398930,0,Cash loans,M,Y,N,0,247500.0,1125000.0,36292.5,1125000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.011703,-9926,-1061,-6542.0,-2474,9.0,1,1,0,1,1,0,Security staff,2.0,2,2,SATURDAY,16,0,1,1,0,1,1,Security,0.5087486232474099,0.4861195361236368,0.34578480246959553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-1269.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.0,0.0,1.0
201672,0,Cash loans,M,N,Y,0,202500.0,900000.0,35158.5,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.010006,-11757,-1593,-4380.0,-81,,1,1,0,1,0,0,Drivers,2.0,2,2,SATURDAY,8,0,0,0,0,1,1,Self-employed,0.06893910299123714,0.24756286841445124,0.2276129150623945,0.034,0.0821,0.9861,0.8096,,0.0,0.1034,0.0833,0.125,0.0,0.0277,,0.0,0.0649,0.0347,0.0852,0.9861,0.8171,,0.0,0.1034,0.0833,0.125,0.0,0.0303,,0.0,0.0688,0.0344,0.0821,0.9861,0.8121,,0.0,0.1034,0.0833,0.125,0.0,0.0282,,0.0,0.0663,not specified,block of flats,0.0355,"Stone, brick",No,0.0,0.0,0.0,0.0,-524.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
132243,0,Revolving loans,F,N,Y,0,121500.0,225000.0,11250.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018209,-22402,365243,-558.0,-4216,,1,0,0,1,0,0,,1.0,3,3,SUNDAY,10,0,0,0,0,0,0,XNA,0.6349691470123091,0.2324261375030008,0.4436153084085652,0.1031,0.0796,0.9851,0.7959999999999999,0.0378,0.0,0.1724,0.1667,0.0,0.0394,0.0841,0.0671,0.0,0.0,0.105,0.0826,0.9851,0.804,0.0382,0.0,0.1724,0.1667,0.0,0.0403,0.0918,0.0699,0.0,0.0,0.1041,0.0796,0.9851,0.7987,0.0381,0.0,0.1724,0.1667,0.0,0.0401,0.0855,0.0683,0.0,0.0,reg oper account,block of flats,0.0734,Panel,No,2.0,0.0,2.0,0.0,-507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
429350,1,Cash loans,F,N,N,0,90000.0,808650.0,26086.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Separated,Municipal apartment,0.009549,-18576,-4725,-2051.0,-2026,,1,1,0,1,0,0,,1.0,2,2,FRIDAY,14,0,0,0,0,0,0,Restaurant,,0.5467978076602136,0.25946765482111994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-170.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
410203,0,Cash loans,F,N,N,2,54000.0,450000.0,21888.0,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.008625,-14783,-84,-8456.0,-2537,,1,1,1,1,0,0,Core staff,4.0,2,2,MONDAY,18,0,0,0,0,0,0,Other,0.22318834096207127,0.6484104123892844,0.5531646987710016,0.0835,0.0214,0.9816,,,0.0,0.2069,0.1667,,,,0.0906,,0.0384,0.0851,0.0222,0.9816,,,0.0,0.2069,0.1667,,,,0.0944,,0.0406,0.0843,0.0214,0.9816,,,0.0,0.2069,0.1667,,,,0.0922,,0.0392,,block of flats,0.0712,"Stone, brick",No,1.0,0.0,1.0,0.0,-1160.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
376596,0,Cash loans,F,N,N,1,180000.0,1125000.0,47664.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019689,-16032,-5139,-5475.0,-4019,,1,1,1,1,0,0,Core staff,3.0,2,2,WEDNESDAY,18,0,0,0,0,0,0,Transport: type 2,0.2784712989825959,0.713935524422844,0.3842068130556564,0.1268,0.0,0.9747,0.6532,0.0045,0.0,0.069,0.1667,0.2083,0.0,0.1034,0.0516,0.0,0.0062,0.1292,0.0,0.9747,0.6668,0.0045,0.0,0.069,0.1667,0.2083,0.0,0.1129,0.0538,0.0,0.0066,0.128,0.0,0.9747,0.6578,0.0045,0.0,0.069,0.1667,0.2083,0.0,0.1052,0.0526,0.0,0.0064,reg oper account,specific housing,0.0131,"Stone, brick",No,0.0,0.0,0.0,0.0,-1903.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
446827,0,Cash loans,M,Y,N,0,121500.0,343377.0,13072.5,283500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.010147,-18445,-10811,-10859.0,-1988,29.0,1,1,0,1,0,0,Managers,1.0,2,2,SATURDAY,12,0,0,0,0,0,0,Business Entity Type 2,,0.5422529112247184,0.6894791426446275,0.0052,,0.9722,,,,,0.0,,,,0.0059,,,0.0053,,0.9722,,,,,0.0,,,,0.0061,,,0.0052,,0.9722,,,,,0.0,,,,0.006,,,,block of flats,0.0046,"Stone, brick",No,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
318422,0,Cash loans,F,N,Y,0,157500.0,403249.5,19741.5,283500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.001276,-16012,-1089,-10113.0,-4191,,1,1,0,1,0,0,,1.0,2,2,MONDAY,3,0,0,0,0,0,0,Business Entity Type 3,,0.034650138639280736,0.470456116119975,0.0619,0.0353,0.9806,0.7348,0.0,0.0,0.1034,0.1667,0.0417,0.0318,0.0252,0.0441,0.0,0.0316,0.063,0.0,0.9806,0.7452,0.0,0.0,0.1034,0.1667,0.0417,0.0285,0.0,0.0456,0.0,0.0334,0.0625,0.0353,0.9806,0.7383,0.0,0.0,0.1034,0.1667,0.0417,0.0323,0.0257,0.0448,0.0,0.0322,reg oper account,block of flats,0.0394,Block,No,2.0,1.0,2.0,0.0,-770.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0
392459,0,Cash loans,F,Y,Y,0,54000.0,408780.0,14809.5,337500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,-20600,365243,-4991.0,-3555,6.0,1,0,0,1,0,0,,2.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,,0.4725256337007305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,1.0,-875.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
388112,1,Cash loans,M,N,N,1,135000.0,473760.0,53581.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.00496,-13622,-810,-980.0,-4366,,1,1,0,1,0,0,Managers,3.0,2,2,TUESDAY,9,0,0,0,0,0,0,Business Entity Type 3,,0.21748128865876126,0.2636468134452008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
